customer_name,customer_email,country,gender,age,annual_salary,credit_card_debt,net_worth,car_purchase_amount
Customer 314,customer314@email.com,Australia,0,23.0,61192.61,4727.2,301895.02,18350.15
Customer 315,customer315@email.com,India,1,47.0,47061.26,7986.5,423009.62,17484.02
Customer 316,customer316@email.com,India,0,32.0,73964.47,7319.26,26596.33,14039.22
Customer 317,customer317@email.com,Kenya,0,34.0,67869.71,6187.09,553323.43,24951.98
Customer 318,customer318@email.com,India,0,33.0,77903.86,10785.55,500301.37,36060.33
Customer 319,customer319@email.com,France,1,30.0,72703.44,11821.22,295727.84,25371.99
Customer 320,customer320@email.com,United Kingdom,1,41.0,80991.05,8353.63,664811.42,26356.3
Customer 321,customer321@email.com,South Africa,0,30.0,49295.3,13910.12,734392.53,22723.76
Customer 322,customer322@email.com,Kenya,1,43.0,86347.88,3433.24,98110.03,21416.66
Customer 323,customer323@email.com,Kenya,1,39.0,63951.99,7225.36,309318.81,22898.43
Customer 324,customer324@email.com,France,1,37.0,101505.22,5132.71,307714.41,29113.45
Customer 325,customer325@email.com,Canada,1,29.0,46216.24,533.85,265024.22,17214.67
Customer 326,customer326@email.com,Canada,0,33.0,94719.28,7669.28,707368.71,33811.98
Customer 327,customer327@email.com,India,0,49.0,63958.22,7513.01,451543.47,23056.94
Customer 328,customer328@email.com,South Africa,1,46.0,46971.64,14053.8,433871.29,19375.47
Customer 329,customer329@email.com,India,1,28.0,50322.28,10523.25,10000.0,5638.12
Customer 330,customer330@email.com,Nigeria,0,41.0,53593.05,3903.25,658854.51,25936.32
Customer 331,customer331@email.com,Nigeria,0,49.0,68483.32,15416.37,190185.4,14180.35
Customer 332,customer332@email.com,United States,1,20.0,70456.71,12884.13,514983.16,24105.39
Customer 333,customer333@email.com,Nigeria,0,47.0,48526.0,10328.39,569344.23,31188.72
Customer 334,customer334@email.com,Canada,1,32.0,59512.91,7094.06,840164.65,32523.27
Customer 335,customer335@email.com,United Kingdom,1,47.0,102845.41,4162.24,172794.9,22125.9
Customer 336,customer336@email.com,Nigeria,0,31.0,94550.86,6511.17,10000.0,22696.92
Customer 337,customer337@email.com,India,0,18.0,68726.47,12354.99,545962.39,25040.78
Customer 338,customer338@email.com,Australia,1,20.0,60760.07,15538.35,950127.8,31823.01
Customer 339,customer339@email.com,Kenya,1,41.0,62400.63,14172.97,809736.59,31758.08
Customer 340,customer340@email.com,United Kingdom,0,43.0,72270.36,6044.6,552414.85,32854.02
Customer 341,customer341@email.com,United Kingdom,1,29.0,39544.15,3521.53,377090.95,15528.62
Customer 342,customer342@email.com,India,0,48.0,54852.47,8563.54,701780.65,27228.03
Customer 343,customer343@email.com,Kenya,1,20.0,26628.32,926.24,256613.45,10254.75
Customer 344,customer344@email.com,Canada,0,39.0,67984.46,9292.67,619089.44,29516.73
Customer 345,customer345@email.com,United Kingdom,0,25.0,72943.92,7409.59,626367.54,24971.92
Customer 346,customer346@email.com,United States,0,32.0,50336.27,6135.85,765052.48,27385.8
Customer 347,customer347@email.com,India,1,41.0,91479.74,1621.19,1189915.01,42272.87
Customer 348,customer348@email.com,United Kingdom,1,30.0,35484.69,10054.4,598103.99,25206.79
Customer 349,customer349@email.com,South Africa,0,35.0,30712.5,5869.2,372759.09,21230.5
Customer 350,customer350@email.com,Kenya,1,52.0,64489.04,3320.33,493606.42,19076.3
Customer 351,customer351@email.com,Nigeria,0,33.0,80941.97,0.0,57731.02,20060.72
Customer 352,customer352@email.com,United Kingdom,0,50.0,93678.55,7889.94,326321.72,21660.48
Customer 353,customer353@email.com,India,1,26.0,50822.31,15089.01,397679.39,15492.52
Customer 354,customer354@email.com,Nigeria,1,46.0,81573.62,14645.04,368977.9,22300.05
Customer 355,customer355@email.com,United States,0,57.0,59229.83,6171.61,538088.72,20703.64
Customer 356,customer356@email.com,Nigeria,1,18.0,56547.45,5591.15,294395.02,24691.05
Customer 357,customer357@email.com,South Africa,1,30.0,77673.2,9875.1,780257.67,33567.5
Customer 358,customer358@email.com,Canada,0,47.0,73046.46,4006.46,500051.77,21024.51
Customer 359,customer359@email.com,United Kingdom,0,38.0,28472.16,9207.17,497674.92,18009.28
Customer 360,customer360@email.com,Germany,1,44.0,89530.81,11064.32,418026.32,28947.87
Customer 361,customer361@email.com,Germany,0,33.0,87601.83,12907.73,538797.67,35490.78
Customer 362,customer362@email.com,Nigeria,0,41.0,47488.75,7599.38,706274.57,21530.92
Customer 363,customer363@email.com,France,1,38.0,67916.07,7185.3,283217.45,15893.46
Customer 364,customer364@email.com,Kenya,0,54.0,69880.6,4488.07,335470.88,25555.6
Customer 365,customer365@email.com,Germany,0,43.0,65213.48,4692.48,424068.49,24362.99
Customer 366,customer366@email.com,France,1,44.0,48993.9,7094.08,163532.27,12505.44
Customer 367,customer367@email.com,Germany,1,35.0,46567.53,9469.46,295185.54,20545.78
Customer 368,customer368@email.com,France,0,34.0,59488.92,11654.34,380944.78,14269.56
Customer 369,customer369@email.com,Kenya,0,35.0,83454.58,4787.28,718597.3,33421.53
Customer 370,customer370@email.com,Australia,1,45.0,70872.0,13970.75,565640.33,26530.0
Customer 371,customer371@email.com,Germany,1,35.0,52587.71,6915.51,548397.48,27937.37
Customer 372,customer372@email.com,South Africa,1,43.0,75433.97,7914.53,712724.49,27136.44
Customer 373,customer373@email.com,United Kingdom,1,65.0,15000.0,5011.15,465657.05,12319.09
Customer 374,customer374@email.com,France,0,50.0,82975.31,0.0,597616.21,25622.35
Customer 375,customer375@email.com,United Kingdom,1,36.0,25205.72,11536.18,474194.56,19677.28
Customer 376,customer376@email.com,India,1,54.0,52751.18,10947.38,566340.59,18658.71
Customer 377,customer377@email.com,India,0,35.0,37606.6,6874.69,354310.34,17815.43
Customer 378,customer378@email.com,Kenya,1,18.0,34106.37,8267.96,10000.0,5101.71
Customer 379,customer379@email.com,France,0,28.0,83216.54,10063.76,466430.21,28358.12
Customer 380,customer380@email.com,United States,1,18.0,50645.98,1749.82,855687.03,30711.01
Customer 381,customer381@email.com,India,1,36.0,66930.08,5883.79,731553.85,30178.35
Customer 382,customer382@email.com,Kenya,1,40.0,59061.59,11177.06,741349.37,28683.23
Customer 383,customer383@email.com,India,0,60.0,69540.82,2982.84,809032.68,23967.72
Customer 384,customer384@email.com,India,0,44.0,61536.44,9174.23,522164.4,23057.3
Customer 385,customer385@email.com,United States,1,37.0,34340.16,2573.67,549328.93,22329.62
Customer 386,customer386@email.com,Germany,0,50.0,79925.34,9865.72,345587.03,29776.35
Customer 387,customer387@email.com,Nigeria,0,18.0,50124.87,7857.43,420981.79,15416.72
Customer 388,customer388@email.com,Australia,0,43.0,28868.36,1539.47,653942.79,27047.69
Customer 389,customer389@email.com,India,0,49.0,51437.7,12658.96,800971.11,29659.76
Customer 390,customer390@email.com,India,0,22.0,90015.2,5061.63,465138.43,27540.79
Customer 391,customer391@email.com,South Africa,0,54.0,77004.43,4758.99,387452.68,27299.68
Customer 392,customer392@email.com,Australia,1,44.0,53026.96,8802.28,500131.99,23392.77
Customer 393,customer393@email.com,United States,1,35.0,53014.85,12594.55,650301.69,27866.28
Customer 394,customer394@email.com,United Kingdom,0,48.0,53567.3,3936.71,139036.3,14662.79
Customer 395,customer395@email.com,France,1,67.0,101534.96,8246.72,10000.0,18876.28
Customer 396,customer396@email.com,India,1,42.0,67638.71,9715.27,362365.79,25311.0
Customer 397,customer397@email.com,Nigeria,1,43.0,68600.83,10772.42,194821.89,16632.29
Customer 398,customer398@email.com,France,1,34.0,80605.67,8705.77,372964.95,21521.83
Customer 399,customer399@email.com,Australia,0,30.0,64775.78,6531.89,463054.92,23715.33
Customer 400,customer400@email.com,France,1,50.0,54819.16,4689.64,386687.9,17087.55
Customer 401,customer401@email.com,Germany,1,30.0,56073.0,8344.58,863116.88,30648.26
Customer 402,customer402@email.com,India,0,41.0,58567.97,3711.44,581686.19,29560.09
Customer 403,customer403@email.com,France,0,34.0,59255.56,0.0,575118.59,25818.8
Customer 404,customer404@email.com,United Kingdom,1,46.0,74552.59,9746.24,655551.79,27990.83
Customer 405,customer405@email.com,United Kingdom,1,44.0,61038.92,11615.74,215291.72,17674.17
Customer 406,customer406@email.com,India,1,52.0,74652.8,0.0,759777.95,32538.77
Customer 407,customer407@email.com,Canada,1,34.0,58385.67,3961.08,481058.93,18042.25
Customer 408,customer408@email.com,United Kingdom,1,37.0,61572.7,10476.62,667620.15,26320.55
Customer 409,customer409@email.com,France,1,28.0,20035.99,16229.98,232035.69,12256.97
Customer 410,customer410@email.com,Kenya,0,35.0,78326.55,8083.17,111560.31,23772.11
Customer 411,customer411@email.com,United Kingdom,1,45.0,66929.77,5087.99,704472.41,27144.41
Customer 412,customer412@email.com,Australia,1,49.0,79960.2,7268.41,594102.38,21719.58
Customer 413,customer413@email.com,Canada,0,29.0,15000.0,13499.51,274487.11,14048.93
Customer 414,customer414@email.com,France,0,50.0,101767.49,5416.14,282584.23,22469.11
Customer 415,customer415@email.com,United States,0,56.0,57208.21,4803.23,781358.7,22959.08
Customer 416,customer416@email.com,South Africa,0,45.0,82163.66,6069.03,202647.03,18897.55
Customer 417,customer417@email.com,United States,1,63.0,39201.88,4186.69,910668.24,24521.4
Customer 418,customer418@email.com,Germany,1,31.0,72255.48,8490.68,274844.82,19871.92
Customer 419,customer419@email.com,South Africa,1,25.0,38931.69,14498.71,659597.98,15965.14
Customer 420,customer420@email.com,Germany,1,19.0,47524.62,9292.32,417845.38,21047.57
Customer 421,customer421@email.com,South Africa,1,58.0,98280.63,6990.59,650796.86,33283.6
Customer 422,customer422@email.com,South Africa,1,48.0,56186.35,6832.75,363971.5,21378.67
Customer 423,customer423@email.com,Kenya,0,39.0,64348.66,1747.24,459301.77,21450.55
Customer 424,customer424@email.com,Nigeria,1,43.0,77401.35,11532.44,510229.79,25457.08
Customer 425,customer425@email.com,Australia,0,26.0,69913.64,7688.65,249453.14,19887.68
Customer 426,customer426@email.com,United States,0,69.0,63008.38,7278.08,685206.09,24423.95
Customer 427,customer427@email.com,United Kingdom,1,42.0,67299.22,20772.43,371696.61,23056.59
Customer 428,customer428@email.com,France,0,41.0,108068.31,9195.01,442850.02,27745.22
Customer 429,customer429@email.com,Canada,1,49.0,58847.62,4992.84,251412.66,17802.1
Customer 430,customer430@email.com,Australia,0,46.0,64021.98,6294.57,10000.0,15345.68
Customer 431,customer431@email.com,Germany,1,43.0,81013.09,12593.78,452243.06,29704.91
Customer 432,customer432@email.com,Kenya,0,31.0,82110.52,8453.08,1103153.86,41847.87
Customer 433,customer433@email.com,Germany,1,46.0,83740.61,2246.89,696151.07,33426.59
Customer 434,customer434@email.com,Nigeria,1,63.0,72774.6,11676.92,495184.91,21303.68
Customer 435,customer435@email.com,Canada,1,56.0,37139.9,5327.42,434277.29,20755.17
Customer 436,customer436@email.com,Kenya,1,59.0,92668.63,15493.19,505616.47,25892.59
Customer 437,customer437@email.com,Germany,1,34.0,37073.09,12320.19,636779.78,21281.28
Customer 438,customer438@email.com,Nigeria,0,28.0,66052.71,6210.71,204796.8,23192.88
Customer 439,customer439@email.com,France,0,38.0,44914.48,13124.07,778580.42,29490.08
Customer 440,customer440@email.com,France,0,41.0,58717.23,8271.42,678845.33,26028.22
Customer 441,customer441@email.com,Germany,1,53.0,66575.25,11411.09,679546.43,24397.63
Customer 442,customer442@email.com,Australia,0,20.0,66427.14,9938.93,609618.93,26052.28
Customer 443,customer443@email.com,Canada,1,58.0,68438.42,4614.57,504904.16,23691.94
Customer 444,customer444@email.com,India,1,38.0,92274.23,5425.8,668215.31,33654.74
Customer 445,customer445@email.com,Australia,0,35.0,69070.69,12119.84,647953.53,30041.62
Customer 446,customer446@email.com,France,0,28.0,55116.87,6660.9,411489.82,26531.11
Customer 447,customer447@email.com,Canada,1,20.0,79281.74,6385.41,356599.56,25600.34
Customer 448,customer448@email.com,Nigeria,0,50.0,83789.41,4179.51,525464.07,27231.65
Customer 449,customer449@email.com,Kenya,1,41.0,35447.84,9694.4,887255.04,30716.77
Customer 450,customer450@email.com,South Africa,1,25.0,71948.0,16250.1,190223.23,14874.08
Customer 451,customer451@email.com,Germany,1,24.0,74023.45,3729.87,133118.68,19386.69
Customer 452,customer452@email.com,United States,1,36.0,54048.73,8096.88,541190.21,30349.34
Customer 453,customer453@email.com,Canada,1,60.0,87514.14,13648.88,512721.93,23362.53
Customer 454,customer454@email.com,United Kingdom,0,37.0,56998.89,7681.43,543335.42,22705.5
Customer 455,customer455@email.com,Nigeria,0,22.0,62511.53,9809.49,560988.3,22059.28
Customer 456,customer456@email.com,India,1,37.0,56538.56,3750.43,444199.44,20320.83
Customer 457,customer457@email.com,South Africa,1,37.0,60311.58,9713.23,872465.86,29770.45
Customer 458,customer458@email.com,United Kingdom,0,18.0,38074.5,7251.42,99774.01,9469.99
Customer 459,customer459@email.com,India,0,39.0,31198.98,11942.92,292875.74,11326.37
Customer 460,customer460@email.com,United States,1,37.0,91890.1,12749.54,474186.31,28639.14
Customer 461,customer461@email.com,France,0,48.0,43060.77,18358.25,89202.8,13514.18
Customer 462,customer462@email.com,Australia,1,62.0,40172.15,10318.53,456036.4,12991.43
Customer 463,customer463@email.com,Germany,0,54.0,16932.2,9303.19,915367.54,27674.71
Customer 464,customer464@email.com,Kenya,1,37.0,47220.77,8777.54,505221.62,24442.17
Customer 465,customer465@email.com,India,0,27.0,33538.2,6587.33,557675.23,24017.24
Customer 466,customer466@email.com,South Africa,1,70.0,92840.3,9353.94,184958.81,14716.32
Customer 467,customer467@email.com,Canada,0,41.0,80196.34,6818.39,345909.65,26629.38
Customer 468,customer468@email.com,France,0,40.0,46236.99,8673.84,406200.9,16916.38
Customer 469,customer469@email.com,Canada,1,40.0,105048.72,13270.39,420571.23,31512.44
Customer 470,customer470@email.com,South Africa,0,42.0,79635.31,3973.83,820410.95,34071.65
Customer 471,customer471@email.com,Canada,1,38.0,53503.37,12559.51,639422.77,27617.76
Customer 472,customer472@email.com,India,0,33.0,15000.0,13268.46,222135.51,8439.08
Customer 473,customer473@email.com,Nigeria,1,33.0,105818.85,7527.73,561626.19,30267.37
Customer 474,customer474@email.com,Canada,0,40.0,32208.55,0.0,624555.44,25114.08
Customer 475,customer475@email.com,Australia,1,33.0,27092.03,5568.71,785037.26,22962.63
Customer 476,customer476@email.com,United States,0,31.0,80451.41,13187.98,895135.17,36241.24
Customer 477,customer477@email.com,Kenya,1,41.0,108795.05,7908.53,246226.45,22151.52
Customer 478,customer478@email.com,India,0,37.0,87685.46,4002.79,297285.62,27842.78
Customer 479,customer479@email.com,United Kingdom,1,58.0,71278.18,5980.9,185605.54,12508.18
Customer 480,customer480@email.com,South Africa,1,18.0,71895.09,11362.48,441495.04,23734.82
Customer 481,customer481@email.com,France,1,53.0,77068.31,10186.93,616589.59,28150.24
Customer 482,customer482@email.com,India,0,55.0,75178.57,7044.27,746833.63,26418.72
Customer 483,customer483@email.com,Nigeria,1,18.0,65623.83,6532.7,481012.24,24156.63
Customer 484,customer484@email.com,France,0,36.0,62084.02,6432.97,420038.12,24651.4
Customer 485,customer485@email.com,Australia,1,36.0,58748.14,4310.36,537939.5,24323.45
Customer 486,customer486@email.com,South Africa,0,23.0,44920.71,14461.5,291214.27,12690.58
Customer 487,customer487@email.com,France,1,31.0,54386.5,6710.72,1022384.68,28246.72
Customer 488,customer488@email.com,Canada,0,27.0,26140.86,12868.63,98084.74,11044.91
Customer 489,customer489@email.com,India,0,61.0,58033.21,14085.26,546185.14,15325.75
Customer 490,customer490@email.com,United States,1,51.0,40228.18,11993.24,1005901.55,29038.97
Customer 491,customer491@email.com,South Africa,0,55.0,37928.21,6273.52,501699.96,17305.53
Customer 492,customer492@email.com,Germany,0,49.0,63597.88,9614.92,452490.24,23865.42
Customer 493,customer493@email.com,Australia,1,26.0,87840.05,7903.22,410638.64,24892.32
Customer 494,customer494@email.com,Kenya,0,34.0,78366.33,4385.19,454902.08,26226.13
Customer 495,customer495@email.com,South Africa,0,46.0,28589.99,9297.44,843212.12,27218.61
Customer 496,customer496@email.com,Nigeria,0,25.0,40207.44,3283.84,10000.0,11907.91
Customer 497,customer497@email.com,India,1,49.0,78815.42,12750.72,883358.43,33362.88
Customer 498,customer498@email.com,Canada,0,37.0,40350.25,6141.53,144010.71,16326.4
Customer 499,customer499@email.com,Kenya,1,36.0,55507.34,8804.64,433336.92,18305.66
